campaign_name,start_date,end_date,channel,impressions,clicks,spend,conversions,active
Summer,2023-11-24,2023-12-13,TikTok,16795,197,102.82,20.0,Yes
Launch,2023-05-06,2023-05-12,Facebook,1860,30,24.33,1.0,No
Winter,2023-12-13,2023-12-20,Email,77820,843,1323.39,51.0,No
Winter,2023-04-22,2023-04-23,Facebook,7265,169,252.44,30.0,Yes
BlackFriday,2023-10-15,2023-10-28,Instagram,83386,2643,2697.03,0.0,Yes
Launch,2023-10-07,2023-10-23,Facebook,38194,1135,1232.76,178.0,Yes
BlackFriday,2023-03-23,2023-04-01,Google_Ads,45131,1179,1046.18,104.0,Yes
Winter,2023-03-21,2023-04-01,Email,61263,1153,1623.56,0.0,No
Launch,2023-02-19,2023-02-20,Google_Ads,42090,763,1267.69,109.0,No
Launch,2023-05-16,2023-06-01,Google_Ads,68221,2975,5292.16,567.0,No
Launch,2023-10-02,2023-10-15,TikTok,65820,1116,1464.72,169.0,Yes
Summer,2023-02-10,2023-02-16,Google_Ads,1769,85,139.18,11.0,Yes
BlackFriday,2023-11-13,2023-11-23,Email,60735,1617,1552.9,228.0,Yes
BlackFriday,2023-04-27,2023-05-25,Instagram,65925,2317,3635.76,389.0,Yes
Winter,2023-04-30,2023-05-18,Facebook,68969,2718,2933.59,145.0,No
Summer,2023-08-21,2023-08-30,Email,6311,256,353.99,0.0,Yes
BlackFriday,2023-07-09,2023-07-17,Facebook,84104,2539,1975.49,0.0,Yes
BlackFriday,2023-12-26,2024-01-02,Google_Ads,54707,1735,2428.4,0.0,Yes
Winter,2023-11-08,2023-11-24,Google_Ads,86305,2637,4726.22,216.0,No
Winter,2023-11-24,2023-12-18,Email,72932,815,1293.01,157.0,No
Winter,2023-06-16,2023-07-02,Google_Ads,94016,2427,3928.42,207.0,No
Winter,2023-04-28,2023-05-12,TikTok,26658,912,1219.24,166.0,Yes
Summer,2023-07-25,2023-08-08,Email,85478,2898,3990.55,187.0,Yes
BlackFriday,2023-10-18,2023-11-15,Instagram,19431,810,567.39,47.0,Yes
Summer,2023-12-02,2023-12-08,Instagram,3747,135,157.38,9.0,No
Launch,2023-11-26,2023-12-12,Google_Ads,60150,2988,3514.38,175.0,Yes
Summer,2023-05-07,2023-05-29,Instagram,66725,1424,2759.35,251.0,Yes
BlackFriday,2023-10-27,2023-10-29,Instagram,85654,2087,2393.02,122.0,No
Summer,2023-07-05,2023-07-17,Facebook,36773,932,1233.98,84.0,No
Summer,2023-09-18,2023-09-22,Instagram,68435,1959,2546.46,128.0,Yes
Launch,2023-02-26,2023-03-01,TikTok,57886,2514,3658.23,237.0,Yes
Winter,2023-07-15,2023-08-07,TikTok,32551,1335,1118.15,200.0,Yes
Launch,2023-05-09,2023-05-25,Email,12394,324,418.96,22.0,Yes
BlackFriday,2023-01-06,2023-01-26,Email,70092,2388,4152.44,424.0,No
Summer,2023-10-02,2023-10-12,Email,4890,172,205.48,29.0,Yes
Summer,2023-06-24,2023-06-29,TikTok,42606,1061,973.67,55.0,Yes
Winter,2023-05-15,2023-06-01,Email,81038,2149,3729.91,116.0,Yes
Summer,2023-09-17,2023-10-03,TikTok,88313,1127,670.24,96.0,No
Launch,2023-06-02,2023-06-28,Instagram,11627,319,531.19,17.0,Yes
BlackFriday,2023-04-12,2023-04-19,Google_Ads,9792,136,235.62,13.0,Yes
Winter,2023-10-04,2023-10-18,Email,74969,1964,2341.65,249.0,Yes
Winter,2023-01-01,2023-01-17,Facebook,44001,1483,2928.86,0.0,No
Summer,2023-02-27,2023-02-28,Email,77552,2572,4321.12,258.0,Yes
Winter,2023-06-07,2023-06-17,Google_Ads,24897,908,1507.73,141.0,Yes
Winter,2023-09-06,2023-09-12,Facebook,24483,883,640.98,0.0,No
Winter,2023-09-30,2023-10-11,other,49555,1114,919.99,95.0,No
BlackFriday,2023-09-28,2023-10-08,Facebook,81077,3593,3219.35,279.0,No
Launch,2023-04-19,2023-05-11,Email,36920,382,428.93,29.0,Yes
Summer,2023-12-20,2024-01-09,TikTok,93067,3121,5719.84,396.0,Yes
Launch,2023-12-10,2023-12-24,Facebook,68121,2312,4014.77,408.0,Yes
BlackFriday,2023-09-22,2023-10-12,Email,70479,1823,2634.34,112.0,Yes
Summer,2023-02-02,2023-02-06,Google_Ads,90475,1762,3149.01,274.0,Yes
Summer,2023-12-29,2024-01-03,Facebook,67557,3063,3502.47,554.0,No
Summer,2023-05-02,2023-05-12,Email,79953,1857,2360.81,218.0,No
Winter,2023-10-04,2023-10-15,TikTok,53995,1509,2420.95,285.0,Yes
BlackFriday,2023-10-20,2023-11-13,Google_Ads,41757,1535,1772.36,0.0,Yes
Winter,2023-08-31,2023-09-12,Facebook,10692,169,253.53,18.0,Yes
Winter,2023-02-19,2023-03-17,Email,46758,1308,839.07,91.0,Yes
Summer,2023-07-30,2023-08-22,Email,73409,2460,3990.14,219.0,Yes
Launch,2023-12-11,2024-01-08,TikTok,72211,3462,5951.42,474.0,Yes
Summer,2023-02-25,2023-03-09,Google_Ads,38065,927,1808.48,0.0,No
Summer,2023-08-18,2023-09-06,Email,93093,2343,4076.77,327.0,No
BlackFriday,2023-08-25,2023-09-10,TikTok,33606,1150,2132.84,152.0,Yes
Winter,2023-08-15,2023-08-18,Email,12534,304,577.71,38.0,Yes
Winter,2023-10-04,2023-10-19,Email,41397,1708,2581.45,299.0,No
BlackFriday,2023-05-02,2023-05-14,Google_Ads,92387,3530,1795.28,347.0,Yes
Summer,2023-04-20,2023-05-04,Facebook,2016,56,67.13,10.0,Yes
Summer,2023-03-26,2023-04-03,Email,90789,4046,5489.38,299.0,Yes
Launch,2023-05-16,2023-05-23,TikTok,56591,1829,1748.61,138.0,No
BlackFriday,2023-05-27,2023-06-07,Instagram,90812,2869,2803.46,258.0,Yes
Winter,2023-10-12,2023-11-04,Instagram,24247,275,533.98,18.0,No
Summer,2023-04-08,2023-04-16,Email,25300,1251,2298.8,105.0,Yes
BlackFriday,2023-10-27,2023-11-25,Instagram,10268,123,64.03,8.0,No
Winter,2023-09-29,2023-10-10,other,87807,3125,1938.54,506.0,Yes
Launch,2023-02-04,2023-03-06,Instagram,64704,1112,582.26,213.0,Yes
Launch,2023-03-03,2023-04-01,Google_Ads,87779,1188,624.56,186.0,No
Winter,2023-10-24,2023-11-09,Google_Ads,40099,566,1061.2,28.0,No
Winter,2023-08-03,2023-08-29,other,9571,319,497.4,52.0,No
Summer,2023-06-11,2023-06-20,TikTok,39044,1465,1411.43,186.0,Yes
Winter,2023-06-10,2023-06-28,Google_Ads,52214,1352,945.0,225.0,No
Summer,2023-12-10,2023-12-21,Email,62228,1816,2301.7,233.0,No
BlackFriday,2023-11-15,2023-12-11,Instagram,41774,446,850.8,74.0,No
BlackFriday,2023-02-07,2023-02-18,TikTok,3568,81,90.9,8.0,Yes
Summer,2023-03-09,2023-04-01,TikTok,63592,3111,3433.0,156.0,No
BlackFriday,2023-05-06,2023-05-13,Google_Ads,68563,2276,2471.49,403.0,Yes
Summer,2023-10-06,2023-11-04,other,3695,74,44.7,7.0,No
Winter,2023-12-01,2023-12-06,Email,49190,1518,2212.46,188.0,Yes
BlackFriday,2023-10-11,2023-10-22,TikTok,6258,148,236.73,7.0,Yes
BlackFriday,2023-03-10,2023-04-05,Google_Ads,88538,2770,4194.3,342.0,No
Winter,2023-10-11,2023-11-01,Google_Ads,40504,608,430.25,120.0,No
